date_time,heart_rate,평소 안정된 심박수,total_max,total_min,total_average
20230722164046,103,,,,
20230722164047,104,,,,
20230722164048,105,,,,
20230722164049,106,,,,
20230722164050,106,,,,
,,,,,
휴식 끝 4세트 시작,,,max,min,average
,,,117,105,109.0208333
20230722164051,106,,,,
20230722164052,106,,,,
20230722164053,106,,,,
20230722164054,106,,,,
20230722164055,105,,,,
20230722164056,105,,,,
20230722164057,106,,,,
20230722164058,107,,,,
20230722164059,107,,,,
20230722164100,108,,,,
20230722164101,108,,,,
20230722164102,109,,,,
20230722164103,109,,,,
20230722164104,109,,,,
20230722164105,109,,,,
20230722164106,108,,,,
20230722164107,108,,,,
20230722164108,108,,,,
20230722164109,108,,,,
20230722164110,108,,,,
20230722164111,108,,,,
20230722164112,108,,,,
20230722164113,108,,,,
20230722164114,108,,,,
20230722164115,108,,,,
20230722164116,108,,,,
20230722164117,108,,,,
20230722164118,108,,,,
20230722164119,109,,,,
20230722164120,109,,,,
20230722164121,109,,,,
20230722164122,108,,,,
20230722164123,108,,,,
20230722164124,108,,,,
20230722164125,109,,,,
20230722164126,109,,,,
20230722164127,110,,,,
20230722164128,110,,,,
20230722164129,110,,,,
20230722164130,110,,,,
20230722164131,111,,,,
20230722164132,112,,,,
20230722164133,113,,,,
20230722164134,114,,,,
20230722164135,115,,,,
20230722164136,116,,,,
20230722164137,117,,,,
20230722164138,116,,,,
,,,,,
운동 끝 휴식 시작,,,max,min,average
,,,121,93,109.5096154
20230722164139,116,,,,
20230722164140,115,,,,
20230722164141,114,,,,
20230722164142,115,,,,
20230722164143,115,,,,
20230722164144,115,,,,
20230722164145,115,,,,
20230722164146,114,,,,
20230722164147,114,,,,
20230722164148,113,,,,
20230722164149,113,,,,
20230722164150,113,,,,
20230722164151,115,,,,
20230722164152,117,,,,
20230722164153,119,,,,
20230722164154,120,,,,
20230722164155,121,,,,
20230722164155,121,,,,
20230722164156,121,,,,
20230722164157,121,,,,
20230722164158,121,,,,
20230722164159,120,,,,
20230722164200,120,,,,
20230722164201,120,,,,
20230722164202,120,,,,
20230722164203,119,,,,
20230722164204,119,,,,
20230722164205,119,,,,
20230722164206,119,,,,
20230722164207,118,,,,
20230722164208,118,,,,
20230722164209,118,,,,
20230722164210,118,,,,
20230722164211,118,,,,
20230722164212,118,,,,
20230722164213,118,,,,
20230722164214,117,,,,
20230722164215,117,,,,
20230722164216,117,,,,
20230722164217,117,,,,
20230722164218,116,,,,
20230722164219,116,,,,
20230722164220,116,,,,
20230722164221,116,,,,
20230722164222,116,,,,
20230722164223,117,,,,
20230722164224,117,,,,
20230722164225,117,,,,
20230722164226,117,,,,
20230722164227,116,,,,
20230722164228,116,,,,
20230722164229,115,,,,
20230722164230,114,,,,
20230722164231,114,,,,
20230722164232,112,,,,
20230722164233,111,,,,
20230722164234,110,,,,
20230722164235,109,,,,
20230722164236,107,,,,
20230722164237,106,,,,
20230722164238,106,,,,
20230722164239,105,,,,
20230722164240,105,,,,
20230722164241,104,,,,
20230722164242,104,,,,
20230722164243,104,,,,
20230722164244,104,,,,
20230722164245,105,,,,
20230722164246,105,,,,
20230722164247,105,,,,
20230722164248,105,,,,
20230722164249,105,,,,
20230722164250,105,,,,
20230722164251,105,,,,
20230722164252,105,,,,
20230722164253,105,,,,
20230722164254,105,,,,
20230722164255,105,,,,
20230722164256,104,,,,
20230722164257,103,,,,
20230722164258,102,,,,
20230722164259,101,,,,
20230722164300,100,,,,
20230722164301,99,,,,
20230722164302,98,,,,
20230722164303,97,,,,
20230722164304,96,,,,
20230722164305,95,,,,
20230722164306,94,,,,
20230722164307,94,,,,
20230722164308,93,,,,
20230722164309,93,,,,
20230722164310,93,,,,
20230722164311,94,,,,
20230722164312,94,,,,
20230722164313,95,,,,
20230722164314,97,,,,
20230722164315,98,,,,
20230722164316,98,,,,
20230722164317,98,,,,
20230722164318,98,,,,
20230722164319,98,,,,
20230722164320,97,,,,
20230722164321,97,,,,
,,,,,
휴식 끝,,,,,
