date_time,heart_rate,안정 심박
20230723211555,93,
20230723211556,93,
20230723211557,93,
20230723211558,94,
20230723211559,95,
20230723211600,96,
20230723211601,97,
20230723211602,98,
20230723211603,99,
20230723211604,99,
20230723211605,100,
20230723211606,101,
20230723211607,101,
20230723211608,101,
,,
휴식 끝,,
,,
20230723211609,101,
20230723211610,101,
20230723211611,101,
