date_time,heart_rate,안정 심박도,max,min,average
20230722204806,83,72,114,83,102.1386719
,,,,,
1세트 시작,,,,,
,,,,,
20230722205419,107,,,,
20230722205420,107,,,,
20230722205421,107,,,,
20230722205422,105,,,,
20230722205423,105,,,,
20230722205424,105,,,,
20230722205425,105,,,,
20230722205426,104,,,,
20230722205427,104,,,,
20230722205428,103,,,,
20230722205429,102,,,,
20230722205430,100,,,,
20230722205431,101,,,,
20230722205432,101,,,,
20230722205433,101,,,,
20230722205434,102,,,,
20230722205435,103,,,,
20230722205436,103,,,,
20230722205437,103,,,,
20230722205438,103,,,,
20230722205439,102,,,,
20230722205440,101,,,,
20230722205441,101,,,,
20230722205442,102,,,,
20230722205443,102,,,,
20230722205444,103,,,,
20230722205445,104,,,,
20230722205446,104,,,,
20230722205447,104,,,,
20230722205448,105,,,,
20230722205449,105,,,,
,,,,,
휴식 끝 4세트 운동 시작,,,,,
,,,,,
20230722205450,105,,,,
20230722205451,105,,,,
20230722205452,105,,,,
20230722205453,106,,,,
20230722205454,106,,,,
20230722205455,105,,,,
20230722205456,105,,,,
20230722205457,104,,,,
20230722205458,104,,,,
20230722205459,104,,,,
20230722205500,104,,,,
20230722205501,104,,,,
20230722205502,104,,,,
20230722205503,104,,,,
20230722205504,104,,,,
20230722205505,104,,,,
20230722205506,104,,,,
20230722205507,105,,,,
20230722205508,105,,,,
20230722205509,105,,,,
20230722205510,105,,,,
20230722205511,105,,,,
20230722205512,106,,,,
20230722205513,106,,,,
20230722205514,106,,,,
20230722205515,106,,,,
20230722205516,106,,,,
20230722205517,106,,,,
20230722205518,106,,,,
20230722205519,107,,,,
20230722205520,107,,,,
20230722205521,106,,,,
20230722205522,106,,,,
20230722205523,106,,,,
20230722205524,106,,,,
20230722205525,106,,,,
20230722205526,106,,,,
20230722205527,106,,,,
,,,,,
운동 끝 휴식 시작,,,,,
,,,,,
20230722205528,106,,,,
20230722205529,106,,,,
20230722205530,106,,,,
20230722205531,107,,,,
20230722205532,108,,,,
20230722205533,109,,,,
20230722205534,110,,,,
20230722205535,110,,,,
20230722205536,111,,,,
20230722205537,112,,,,
20230722205538,113,,,,
20230722205539,113,,,,
20230722205540,113,,,,
20230722205541,113,,,,
20230722205542,113,,,,
20230722205543,112,,,,
20230722205544,112,,,,
20230722205545,112,,,,
20230722205546,112,,,,
20230722205547,111,,,,
20230722205548,111,,,,
20230722205549,111,,,,
20230722205550,111,,,,
20230722205551,111,,,,
20230722205552,111,,,,
20230722205553,111,,,,
20230722205554,112,,,,
20230722205555,112,,,,
20230722205556,111,,,,
20230722205557,111,,,,
20230722205558,112,,,,
20230722205559,113,,,,
20230722205600,113,,,,
20230722205601,113,,,,
20230722205602,113,,,,
20230722205603,113,,,,
20230722205604,112,,,,
20230722205605,111,,,,
20230722205606,111,,,,
20230722205607,110,,,,
20230722205608,110,,,,
20230722205609,110,,,,
20230722205610,110,,,,
20230722205611,109,,,,
20230722205612,109,,,,
20230722205613,108,,,,
20230722205614,107,,,,
20230722205615,106,,,,
20230722205616,105,,,,
20230722205617,105,,,,
20230722205618,104,,,,
20230722205619,104,,,,
20230722205620,104,,,,
20230722205621,104,,,,
20230722205622,104,,,,
20230722205623,105,,,,
20230722205624,106,,,,
20230722205625,107,,,,
20230722205626,108,,,,
20230722205627,108,,,,
20230722205628,109,,,,
20230722205629,109,,,,
20230722205630,108,,,,
20230722205631,109,,,,
,,,,,
휴식 끝,,,,,
,,,,,
20230722205632,110,,,,
20230722205633,110,,,,
20230722205634,111,,,,
20230722205635,111,,,,
20230722205636,111,,,,
20230722205637,112,,,,
20230722205638,112,,,,
